,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1
51,Dassault Systèmes,Hybrid remote in Brisbane QLD,Australie,Data Scientist (Geoscience),,"Posted
Posted 30+ days ago","Master degree or PHD in data science.
You will collaborate with data engineers, data scientists, software engineers, business leaders and other partners to…"
52,Sportsbet,Melbourne VIC,Australie,Senior Data Scientist,,"Posted
Posted 6 days ago","Within the broader data science team, we work closely with teams that work on areas such as safer gambling, marketing, customer lifecycle, and personalisation."
53,Water Corporation,Remote in Perth WA,Australie,Senior Spatial Analytics Analyst,,"Posted
Posted 1 day ago","Lead continuous improvement of spatial analytics, data science processes and standards to improve the organisation’s spatial data analytics capability."
54,Amazon Commercial Services Pty Ltd,Melbourne VIC,Australie,"Data Analytics Manager, ACES",,"Posted
Posted 30+ days ago",Mining and analysing data from internal data and ingesting external data using APIs or building ETL pipelines for analysis and downstream use in analytics…
55,David Jones,Hybrid remote in Melbourne VIC 3000,Australie,Data Analyst,,"Posted
Posted 1 day ago","Work with data owners and data stewards on data definitions and governance issues.
This may include working with data in a variety of structured or unstructured…"
56,MaxMine,Hybrid remote in Eastwood SA,Australie,Mid-Senior Data Scientist / Analytics Engineer,,"Posted
Posted 30+ days ago","1-4 years years of experience in data-science, developing data analysis and / or modelling and simulation products."
57,Visa,Sydney NSW,Australie,Data Analyst,,"Posted
Posted 30+ days ago","Execute on the analytics plan with appropriate data mining and analytical techniques.
Provide subject matter expertise and quality assurance of complex data…"
58,Swinburne University of Technology,Melbourne VIC,Australie,Data Analyst,,"Posted
Just posted","Strong knowledge of data analysis and data modelling.
Experience in distributed cloud-based data platforms such as Snowflake or Databricks."
59,ERM Power Limited.,Melbourne VIC,Australie,Data Warehouse Developer,,"Posted
Posted 15 days ago","Experiences in data modelling, data integration and data manipulation at scale;
Practical experience building data pipelines and implementing data."
60,Alvarez and Marsal,Remote,Australie,Global Transaction Analytics - All Levels,,"Posted
Posted 30+ days ago","Experience in data analytics and/or transaction services.
Strong technical background with hands-on data analytics experience."
61,Mindhive,Brisbane QLD 4000,Australie,QUT Graduate | Machine Learning Engineer,,"Posted
Posted 30+ days ago","5+ years experience developing and deploying machine learning systems into production,.
University or advanced degree in engineering, computer science,…"
62,BlueScope,Mascot NSW 2020,Australie,Data Engineer,,"Posted
Posted 2 days ago","Developing managed data pipelines through a series of zones or stages within a data lake.
Implementing and managing data security protocols, ensuring data…"
63,The University of Queensland,Gatton QLD,Australie,Postdoctoral Research Fellow in AMR Data Analytics,,"Posted
Posted 30+ days ago","New algorithms for data transformation, including developing technological links between data and analytics, data sharing and reporting."
64,REA Group,Hybrid remote in Melbourne VIC,Australie,ML Engineer,,"Posted
Posted 7 days ago","Proven relevant commercial experience in data science, ML engineering or similar roles.
Productionise new machine learning models and pipelines based on both…"
65,FUJIFILM,Hybrid remote in New South Wales,Australie,Data Insight & BI Analyst,,"Posted
Posted 7 days ago","Collaborate across different business units to support analytics and data initiatives, providing critical business insights and identify business improvement…"
66,Deloitte,Perth WA 6000,Australie,"Risk Manager (AI, Data Protection and Governance) - 12 Month Fixed Term Contract",,"Posted
Today","Conducting monitoring activities and expand on the current scope of the data protection monitoring program;
Risk Manager (AI, Data Protection and Governance) -…"
67,Virgin Australia,Hybrid remote in Brisbane QLD,Australie,Schedule Analytics Specialist,,"Posted
Posted 15 days ago","3 years' experience in an airline, transportation or commercial function.
The objective of the Schedule Analytics Specialist role is to lead the reporting and…"
68,KordaMentha,Perth WA,Australie,Data Analytics Manager,,"Posted
Posted 30+ days ago","Proficiency in data analysis and problem-solving, with the ability to interpret findings and identify key data insights."
69,Cotiviti,Sydney NSW 2000,Australie,Data Scientist,,"Posted
Posted 4 days ago","Solid skills in building statistical/data science models.
Collaborate with key internal stakeholders to productionise data science models and product features."
70,WiseTech Global,Sydney NSW,Australie,TM1/Planning Analytics Specialist,,"Posted
Posted 12 days ago","Qualification in Commerce, Accounting, Business, or equivalent IT/Engineering degree.
Building out TM1 /Planning Analytics applications and reports from…"
71,wiq,Bella Vista NSW 2153,Australie,Senior Machine Learning Engineer,,"Posted
Posted 12 days ago","Bachelor or above degree in Computer Science, Engineering or related field.
This includes for example data models and pipelines, API endpoints, Machine Learning…"
72,The Royal Melbourne Hospital,Melbourne VIC,Australie,Data Analyst,,"Posted
Posted 5 days ago","Experience using databases for data collection and data management.
Import and enter data to the COVID-19 databases and/or other IPSS databases."
73,Novartis,Sydney NSW,Australie,Data and Insights Lead,,"Posted
Posted 30+ days ago","Knowledge of key concepts and practices in data governance and data management.
Hands-on skills in data analytics including the ability to create and maintain…"
74,Showtime Consulting,Canberra ACT,Australie,Data Analysts,,"Posted
Posted 30+ days ago",Developing new data and analytics products with the Development team and implementing BAU requests and new optimisations.
75,DroneShield Limited,Sydney NSW,Australie,Data Annotator (AU),,"Posted
Posted 26 days ago","Experience with data labelling tools is an advantage.
Comfort with repetitive tasks and a passion for data accuracy."
76,Insurance Australia Group,New South Wales,Australie,"Data Science Chapter Lead, Claims",,"Posted
Posted 7 days ago","Extensive experience in data analytics, machine learning, statistical modelling, and other advanced data science techniques, with demonstrated proficiency in…"
77,RMIT University,Hybrid remote in Melbourne VIC 3000,Australie,Data Engineer,,"Posted
Posted 8 days ago","Coordinating and governing data management activities for analytics and reporting.
Defining requirements and standards for data and analytics technologies to be…"
78,ANZ Banking Group,Melbourne VIC,Australie,Data Scientist,,"Posted
Posted 8 days ago",Experience managing Machine learning lifecycle using MLFlow and performing data processing & transformation using PySpark and Object Store.
