,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1
1063,Generali France,93200 Saint-Denis,France,RESPONSABLE DATA SCIENCE ET ANALYTIQUE H/F,,"Posted
Offre publiée il y a plus de 30 jours","Vous exercerez vos missions au sein de la Direction Innovation, Data & Analytiques, Solutions Cognitives où vous contribuerez à tous les enjeux d’avenir liés…"
1064,Orano,La Hague (50),France,"Stage en Data Science - Préparation des Données, Visualisation et Modélisation Prédictive F/H",,"Posted
Offre publiée il y a 13 jour","Compétences en machine Learning et l'utilisation de bibliothèques telles que Scikit-Learn ou TensorFlow.
Développer et mettre en œuvre des modèles prédictifs…"
1065,Dataiku,Paris (75),France,Senior Software engineer AI & Machine Learning - Paris or Remote France,,"Posted
Offre publiée il y a plus de 30 jours","Or collaborate with the AI Lab, our research department, to develop cutting edge POCs and experiments on a broad set of emerging machine learning topics."
1066,Altelios Technology Group,Puteaux (92),France,Data Scientist ML Engineer F/H,,"Posted
Offre publiée il y a 2 jour","Diplômé en informatique, en science des données ou en ingénierie, passionné par l'IA, vous justifiez d’une expérience de minimum 3 ans dans la mise en…"
1067,Ipsen Pharma (SAS),92100 Boulogne-Billancourt,France,Data Scientist,,"Posted
Offre publiée il y a 26 jour","Stay informed about advancements in data science, machine learning, and healthcare analytics;
You will also spearhead the assessment and development of new…"
1068,Ipsen Pharma (SAS),92100 Boulogne-Billancourt,France,"Stagiaire/Intern - AI & Digital Factory - (From February/April, 6 months based at Boulogne-billancourt)",,"Posted
Offre publiée il y a 28 jour","Familiarity with Natural Language Processing (NLP) and machine learning concepts.
Previous experience or projects related to healthcare applications."
1069,Pernod Ricard,75380 Paris,France,Data Analyst Intern M/F,,"Posted
Offre publiée il y a plus de 30 jours","Supporting data analyses to answer strategic business questions from our affiliates or global functions.
A first internships in the field of data or digital…"
1070,ey,92037 La Défense,France,Consultant(e)s Stagiaires en Data & Analytics et Innovation - Secteur financier (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Cadrage et analyse fonctionnelle de projets de transformation, de data analytics ou de data science.
Diplômé(e) d’un master en data science ou data management,…"
1071,LCL,94811 Villejuif,France,Stage Data Scientist,,"Posted
Offre publiée il y a plus de 30 jours","Développer des solutions techniques (modèles machine learning supervisé et Non supervisé, Dashboard, KPI, etc.).
Connaissances des langages SQL, Python, SAS, R."
1072,CNRS,Paris 5e (75),France,"Postdoc à l'ENS, transport optimal pour le machine learning H/F",,"Posted
Offre publiée il y a 8 jour",Recherche numérique sur l'implémentation des méthodes sur architectures GPU avec la librairie Pytorch.
1073,LFB,Lille (59),France,Stage - Data Science,,"Posted
Offre publiée il y a plus de 30 jours","Des connaissances en machine learning, big data, intelligence artificielle et du logiciel Power BI seraient un plus."
1074,Almatek,Paris (75),France,POT7650-Un ingénieur informatique Machine Learning junior à Paris Gare de Lyon (IT) / Freelance,,"Posted
Offre publiée il y a plus de 30 jours","Almatek recherche pour l'un de ses clients, Un Ingénieur Machine Learning junior à Paris Gare de Lyon Projet : ? Industrialisation de la chaine datascience…"
1075,Gorgias,Paris (75),France,Senior Machine Learning Engineer,,"Posted
Offre publiée il y a plus de 30 jours","Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules-based models.
5-week vacation + 2 weeks of RTT."
1076,RTE - Le Réseau de Transport d'Electricité,La Défense (92),France,Stage - Data Science pour la Localisation des Défauts Électriques chez RTE à Paris la Défense - F/H,,"Posted
Offre publiée il y a 29 jour","Des connaissances en apprentissage statistique, IA, machine learning.
Durée et/ou période du stage : 6 mois à partir de mars 2024 (flexible)."
1077,Alteia,31670 Labège,France,Data Science Engineer,,"Posted
Offre publiée il y a plus de 30 jours","Bonne connaissance du deep learning et machine learning en général.
Au sein de nos bureaux Toulousains, vous rejoindrez une équipe de data scientists…"
1078,Cardiologs,Paris (75),France,Data Scientist Intern,,"Posted
Offre publiée il y a plus de 30 jours","+ You have a previous internship working with deep learning or health care data.
Experience with deep learning toolkits such as Tensorflow or Pytorch."
1079,Sanofi,Marcy-l'Étoile (69),France,Head CMC Data Science - VCDS - All gender,,"Posted
Offre publiée il y a plus de 30 jours","Demonstrated experiences in developing complex data analytics workflow – machine learning, multivariate analysis - on biologics processes."
1080,CEA,Saclay (91),France,Stage simulation numérique et machine learning pour le génie civil H/F,,"Posted
Offre publiée il y a plus de 30 jours","Stage simulation numérique et machine learning pour le génie civil H/F.
Le candidat de niveau M2 ou équivalent devra avoir des connaissance en mécanique des…"
1081,Altelios Technology Group,92100 Boulogne-Billancourt,France,Product Data Analyst,,"Posted
Offre publiée il y a 7 jour",Collaborer avec les équipes Product Strategy afin de déterminer les bonnes métriques de succès sur leurs initiatives.
1082,Groupement Les Mousquetaires,92320 Châtillon,France,Product Owner Data & Analytics H/F,,"Posted
Offre publiée il y a plus de 30 jours","Tu as une appétence pour les données, et possède au moins une expérience dans leur valorisation (BI, visualisation, statistiques, optimisation, machine learning…"
1083,Ayming,Télétravail hybride à Levallois-Perret (92),France,CHEF DE PROJET INNOVANTS – AI – WEB3 – DATA ANALYTICS (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Gérer des projets innovants des directions métier dans le domaine de l’IA, de la blockchain, data analytics.
Au moins 5 ans d’expérience dans un rôle similaire,…"
1084,Dassault Systèmes,Vélizy-Villacoublay (78),France,STAGE - Développement Javascript / C++ / Machine Learning (H/F),,"Posted
Offre publiée il y a plus de 30 jours","L’application étant accessible dans un navigateur web ou directement dans CATIA, cela la rend disponible à tout moment et sur tout type de matériel connecté."
1085,ENGIE Information et Technologies S.A.,92400 Courbevoie,France,Stage - Data Visualisation H/F,,"Posted
Offre publiée il y a plus de 30 jours","Le stage se déroulera au sein du département Data d’Engie IT, opérateur central des projets data dans le Groupe Engie.
Stage - Data Visualisation (H/F)."
1086,ENGIE,93240 Stains,France,Stagiaire (H/F) - Computer Science & Artificial Intelligence Lab,,"Posted
Offre publiée il y a 14 jour","You are familiar with software development (Python) and machine learning (sklearn, tensorflow, pytorch frameworks), deep learning, computer vision and data…"
1087,CEA,Gif-sur-Yvette (91),France,Federated learning on vertically partitioned data H/F,,"Posted
Offre publiée il y a plus de 30 jours",Federated learning was introduced in 2016 by Google [1] as a new machine learning paradigm where multiple entities (clients) collaborate in solving a machine…
1088,Capital Management Fund,Paris (75),France,Data Analytics - Researcher/Data Scientist - Internship,,"Posted
Offre publiée il y a plus de 30 jours",You have experience or an appetite in the aggregation of heterogeneous sources and the manipulation of huge datasets.
1089,Insitoo Freelances,59000 Lille,France,Machine Learning ingénieur informatique H/F (IT) / Freelance,,"Posted
Offre publiée il y a 5 jour",Le ML Engineer H/F devra avoir des compétences en Data Science (ie. comprendre les algorithmes de ML connus ) et avoir une bonne maîtrise sur le build de…
1090,SUEZ,Le Pecq (78),France,Stagiaire Hydraulique et Data Science (H/F),,"Posted
Offre publiée il y a 27 jour",L’étudiant(e) devra travailler sous la responsabilité d’un expert en data science qui assurera l’encadrement scientifique de l’utilisation des modèles et de la…
1091,Digiwide,Bordeaux (33),France,Data Scientist junior H/F,,"Posted
Offre publiée il y a plus de 30 jours","L’équipe Data Science intervient aux côtés des équipes conseil en stratégie de KEA.
Dans le cadre de son développement, l’équipe Data Science recrute un Data…"
1092,Agrega,Paris (75),France,Data analyste informatique - Data Science Risque (IT) / Freelance,,"Posted
Offre publiée il y a 1 jour",Automatisation de process Maquettage Elaboration et production de Repporting Expérience en banque Assurer une forte collaboration avec les équipes Métrique…
1093,Cherry Pick,92000 Nanterre,France,Data Scientist (IT) / Freelance,,"Posted
Offre publiée il y a plus de 30 jours","Contribuer ponctuellement sur quelques projets de Data Science.
Présentations pour le suivi des différents projets."
1094,Axande,59491 Villeneuve-d'Ascq,France,Data Engineer (Lille) (IT) / Freelance,,"Posted
Offre publiée il y a 15 jour","Développer et garantir les pratiques de développement et de documentation associés (DevOps).
Recueillir les besoins métiers détaillés auprès du Product Owner."
1095,"Alteryx, Inc.",Paris (75),France,Field Chief Data & Analytics Officer,,"Posted
Offre publiée il y a plus de 30 jours","Assist on key internal data science projects.
Experience leading a data science function through transformation.
Experience with Alteryx a plus."
1096,Danone,Gif-sur-Yvette (91),France,Stage - Machine Learning Engineer - Gif-sur-Yvette (91) - Mars 2023 - (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Collaborer étroitement avec des data scientists , le data architect , des data engineers , des experts du domaine pour comprendre les exigences du projet et les…"
1097,Dassault Systèmes,Vélizy-Villacoublay (78),France,STAGE - Data Scientist - Industry Intelligence (H/F) - Mars 2024,,"Posted
Offre publiée il y a plus de 30 jours","Vous avez des compétences en data visualisation et communication.
Dans ce contexte, nous recherchons un ou une data scientist qui interviendra dans des missions…"
1098,CNRS,Pessac (33),France,H/F Post-Doc Dimensionnement multi-échelle de Composites à Matrice Céramique par approche hybride modélisation numérique/machine learning,,"Posted
Offre publiée il y a plus de 30 jours","Pour ce faire, on s'appuiera d'une part sur des jumeaux numériques virtuels ou issus d'imagerie 3D de pièces CMC et d'autre part on aura recours à des…"
1099,TotalEnergies,Courbevoie (92),France,STAGE - Data Science - Support à la Coordination du Programme d'efficacité énergétique - F/H,,"Posted
Offre publiée il y a plus de 30 jours",Vous préparez un Master 2 en école d'ingénieur ou à l'université avec une réelle appétence pour l'informatique et recherchez un stage de 6 mois.
1100,Meta,Paris (75),France,"Postdoctoral Researcher, Brain & AI (PhD)",,"Posted
Offre publiée il y a 26 jour","Experience building systems based on machine learning and/or deep learning methods.
Individuals in this role are expected to be recognized experts in…"
1101,ENGIE ENERGIE SERVICES,92400 Courbevoie,France,Stage (F/H) - Chef de projet Data / IA,,"Posted
Offre publiée il y a 7 jour","Proposer une stratégie de reporting et de collecte de données des projets.
Concevoir et implémenter un processus automatisé pour la collecte et l'agrégation des…"
1102,Otoqi,Télétravail hybride à 75015 Paris,France,Data Science - stage,,"Posted
Offre publiée il y a plus de 30 jours","Nous ouvrons la voie en combinant notre plateforme digitale avec la puissance de l’intelligence artificielle, permettant à nos clients de commander des…"
1103,TotalEnergies,Palaiseau (91),France,STAGE - Reinforcement Learning - acceleration of global optimization techniques (H/F),,"Posted
Offre publiée il y a plus de 30 jours","If time and the quality of the methodology built allow it, the candidate can submit their work for publication in high level journals or conferences."
1104,Société Générale,La Défense (92),France,Data scientist- H/F/X,,"Posted
Offre publiée il y a plus de 30 jours","Modéliser des solution permettant de répondre au problème en mettant en oeuvre des algorithmes de machine learning et de NLP.
Plus qu’un poste, un tremplin."
1105,ELAP,Paris (75),France,JEUNE DOCTEUR EN DATA SCIENCE/IA H/F – CDI OU CDD,,"Posted
Offre publiée il y a 20 jour","Rattaché à notre pôle Ingénierie, vous serez en charge de la recherche fondamentale et appliquée, du développement expérimental ainsi que de la consolidation…"
1106,TotalEnergies,Paris (75),France,DATA ENGINEER H/F,,"Posted
Offre publiée il y a plus de 30 jours","Tu intègres également les données dans le data lake.
Rejoins-nous en plein cœur de Paris en tant que Data Engineer et intègre une de nos 30 squads qui réunit 8…"
1107,SERMA Technologies,Pessac (33),France,Ingénieur Fiabilité / Data Science – 122023/ST/KQN,,"Posted
Offre publiée il y a plus de 30 jours","Au sein de la BU Conseil de Serma Technologies, vous serez en charge de réaliser des prestations liées à la maitrise des procédés de fabrication de sous…"
1108,SKIILS SAS,Paris (75),France,Data Scientist (IT) / Freelance,,"Posted
Offre publiée il y a 7 jour","Avoir au moins 4 années d?expériences en tant que Data Scientist.
Avoir une première expérience sur les technologies suivantes : Python, SQL, Docker, Git, Cloud…"
1109,orano,La Hague (50),France,Stage en Data Science F/H,,"Posted
Offre publiée il y a 13 jour",Le métier Génie civil au sein de la société ORANO projets est à la recherche d'un(e) stagiaire passionné(e) en Data Science pour rejoindre notre équipe…
1110,Schneider Electric,Télétravail à Grenoble (38),France,"Data Scientist, IA Generative",,"Posted
Offre publiée il y a plus de 30 jours","2 ans d'expérience en science des données dans le domaine du NLP, de l'IA générative/LLM, et idéalement de la vision par ordinateur (deep learning)."
1111,Capgemini Engineering,Paris (75),France,Ingénieur(e) Computer Vision - Paris H/F,,"Posted
Offre publiée il y a 3 jour",Travailler en étroite collaboration avec les équipes DevOps et les ingénieurs data pour assurer une mise en production efficace des solutions.
1112,CHAPS VISION,Paris (75),France,STAGE – DATA SCIENCE RECONNAISSANCE D’EMOTIONS – H/F,,"Posted
Offre publiée il y a plus de 30 jours","Lille, Suresnes (proche Paris), Bordeaux, Aix-en-Provence, Montpellier, Nancy, Paris.
Vous aurez pour objectif de trouver et mettre en place un certain nombre…"
1113,Colas,54000 Nancy,France,Data Analyst H/F,,"Posted
Offre publiée il y a 9 jour","Collecter la data (toutes filières confondues) à partir des différents outils métiers ou via des data lakes.
Proposer une béta version, animer la phase de test,…"
1114,Altelios Technology,92100 Boulogne-Billancourt,France,Product Data Analyst,,"Posted
Offre publiée il y a 7 jour","Vous disposez d'au moins 1 à 2 ans d'expérience dans un rôle analytique.
Vous avez de l'expérience avec des langages pour accéder aux données (e.g. SQL, Python)…"
1115,@talentEgal,Toulouse (31),France,Manager Data Science (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Formation technique Bac+5 (école d’ingénieur ou équivalent universitaire) ou bien doctorat (spécialisation en statistiques, data science, ou mathématiques),."
1116,Science me Up,38130 Échirolles,France,Data scientiste big data - Grenoble,,"Posted
Offre publiée il y a plus de 30 jours","Vous êtes titulaire d'un diplôme de Docteur (PhD) ou d'ingénieur en informatique, mathématiques appliquées ou data science avec une expérience en exploitation…"
1117,Wavestone,Paris (75),France,Digital Customer – Machine Learning & Data Lab – Stage,,"Posted
Offre publiée il y a plus de 30 jours","Pour cela, le MLDL s’appuie sur une cinquantaine de data scientists et data engineers autour des problématiques liées à la data science, aux algorithmes de…"
1118,Crédit Agricole Leasing & Factoring,92120 Montrouge,France,Assistant Data Scientist H/F,,"Posted
Offre publiée il y a plus de 30 jours","º S’approprier les modèles développés par l’équipe data science, en particulier les scores d’appétence, et identifier les domaines nécessitant des optimisations…"
1119,Doctolib,Paris (75),France,Senior Data Scientist - Deep Learning (x/f/m),,"Posted
Offre publiée il y a 7 jour","Create, find or adapt model architecture, annotation or validation strategies to improve our speech recognition, summarization and medical data structuration…"
1120,EURO-INFORMATION DEVELOPPEMENTS,Villeneuve-d'Ascq (59),France,Data officer - data factory (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Vous avez acquis une solide expérience dans les projets Data, BI ou Data science en tant que chef de projet.
Nous avons une grande variété de projets, tant sur…"
1121,CEA,Saclay (91),France,"Identification automatique, démélange spectral, machine learning, instrumentation nucleaire H/F",,"Posted
Offre publiée il y a plus de 30 jours","Identification automatique, démélange spectral, machine learning, instrumentation nucleaire H/F.
Elle aura acquis des compétences en traitement du signal et en…"
1122,EURO-INFORMATION DEVELOPPEMENTS,Nantes (44),France,Data Engineer - data factory (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Accélérer la valorisation des données au travers d’analyse de masse et de modèles allant jusqu’au prédictif.
Pour mener à bien ces missions, la relation métier…"
1123,SNCF,93210 Saint-Denis,France,STAGE DATA SCIENTIST,,"Posted
Offre publiée il y a 9 jour",Participer au data challenge que l’on organise avec la plateforme Challenge Data (https://challengedata.ens.fr/).
1124,Meta,Paris (75),France,"Research Scientist Intern, Neuroscience / NLP",,"Posted
Offre publiée il y a 13 jour","Experience building systems based on machine learning, reinforcement learning and/or deep learning methods.
Experience manipulating and analyzing complex, high…"
1125,Artefact,75009 Paris,France,Data Scientist,,"Posted
Offre publiée il y a plus de 30 jours","A Master's degree in machine learning, mathematics, computer science, or related fields.
Strong knowledge of data processing, data modeling, algorithms, and…"
1126,Geniem,Paris (75),France,DATA analyste informatique (IT) / Freelance,,"Posted
Offre publiée il y a 27 jour","Knowledge of machine learning, deep learning.
Connaissance machine learning, deep learnig.
Pas de profil de data scientist, mais bien analyst."
1127,McKinsey & Company,75008 Paris,France,"Data Scientist (full time, all seniority levels) - QuantumBlack",,"Posted
Offre publiée il y a plus de 30 jours","Good knowledge of statistical approaches including advanced machine learning techniques (e.g. data science, support vector machines, neural nets, deep learning,…"
1128,Median Technologies,Sophia Antipolis (06),France,AI applied to CT scans M/F,,"Posted
Offre publiée il y a plus de 30 jours","Experience with 3D medical image processing and/or image segmentation would be appreciated.
Education: in the process of obtaining a Master’s Degree or a…"
1129,Kinaxis,Télétravail,France,Learning Architect,,"Posted
Offre publiée il y a 4 jour",Develop new courseware to support customer specific trainings and/or continuous improvements of existing standard e-learnings on RapidResponse ®.
1130,Excelcio,75011 Paris,France,Consultant Data Visualization & Analytics,,"Posted
Offre publiée il y a plus de 30 jours","Expert de la Data Visualization et de l’EPM (Entreprise Performance Management), Excelcio est partenaire des éditeurs les plus innovants et leaders du marché :…"
1131,Havas Group,Puteaux (92),France,Manager Data Science,,"Posted
Offre publiée il y a plus de 30 jours","Leadership avéré et désir de contribuer au développement de la cellule data science.
Assurer la qualité des modèles et des résultats produits par l'équipe de…"
1132,Abeille assurances,Télétravail hybride à Bois-Colombes (92),France,Data Scientist,,"Posted
Offre publiée il y a plus de 30 jours","Réalisation de modélisations : utilisation de techniques statistiques, de machine learning, de deep learning ou natural language processing."
1133,Capgemini Engineering,Brest (29),France,Data & AI Engineer,,"Posted
Offre publiée il y a plus de 30 jours",Description de l'entreprise Description de la mission…
1134,Egencia,Issy-les-Moulineaux (92),France,Internship program - Paris Development Center Machine Learning Engineering,,"Posted
Offre publiée il y a plus de 30 jours","You are familiar with data visualization tools.
You have a good knowledge of data wrangling methods.
You have good databases knowledge (relational and / or…"
1135,Science me Up,33000 Bordeaux,France,PhD systèmes distribués appliqués au Machine Learning,,"Posted
Offre publiée il y a plus de 30 jours",Notre client est une spin-off créé en 2010 par des chercheurs pour développer une plateforme d'aide à la décision qui utilise une méthode absolument novatrice…
1136,Silkhom,Télétravail hybride à La Ciotat (13),France,Ingénieur machine learning – Imagerie médicale,,"Posted
Offre publiée il y a plus de 30 jours","Vous avez au minimum un diplôme Bac +5 (ingénieur ou université) en informatique, machine learning.
Vous avez au moins 2 ans d’expérience en machine learning et…"
1137,MACIF,Paris 15e (75),France,Chargé d'études DATA (F/H),,"Posted
Offre publiée il y a 1 jour","Développer et maintenir des scripts python et des flux SAS.
Concevoir et exécuter des requêtes SQL d'interrogation et de gestion des données (PostgreSQL/MySQL…"
1138,Merieux NutriSciences,Tassin-la-Demi-Lune (69),France,Data Scientist,,"Posted
Offre publiée il y a 28 jour","Experience with machine learning algorithms.
Develop predictive models using machine learning algorithms.
Stay up-to-date with emerging trends in data science,…"
1139,FABDEV,75015 Paris,France,Data scientist,,"Posted
Offre publiée il y a plus de 30 jours","Savoir gérer une machine linux.
Vous serez amené(e) à traiter des problématiques d’analyse de données, de machine learning pour nos clients grands comptes."
1140,Thermo Fisher Scientific,Télétravail,France,Assistant CRA,,"Posted
Offre publiée il y a plus de 30 jours",Bachelor’s Degree in a life science-related field or relevant/equivalent formal academic/vocational qualification.
1141,CHD Vendée - DRH,Télétravail hybride à La Roche-sur-Yon (85),France,DATA SCIENTIST F/H,,"Posted
Offre publiée il y a 5 jour",Le CHD Vendée est le centre hospitalier de référence du département de La Vendée et l’un des plus importants centres hospitaliers non universitaires de France.
1142,Hôpital National des Quinze-Vingts,75571 Paris,France,Data scientist,,"Posted
Offre publiée il y a 2 jour","Le data scientist est compétent en méthodologie de la recherche, en machine learning, réseaux de neurones convolutionnels, traitement du signal."
1143,ICON,Télétravail,France,Global Clinical Trial Assistant,,"Posted
Offre publiée il y a 1 jour","Degree in a health or science related field.
The Global Clinical Trial Assistant -Medical Affairs Organization( MAO ) assists with local project management…"
1144,KPMG,Courbevoie (92),France,ARCHITECTE DATA & ANALYTICS F/H,,"Posted
Offre publiée il y a plus de 30 jours",Faites le choix d’aider les experts métiers à exceller autrement en œuvrant pour une performance durable autant que financière.
1145,Capgemini Invent,Paris (75),France,CDI Consultant junior en Transformation et Innovation digitale - Paris F/H,,"Posted
Offre publiée il y a 2 jour","Des expertises reconnues dans la stratégie, les technologies, la « data science » et le « creative design ».
Nous rejoindre, c’est entrer au cœur du digital et…"
1146,Aquila Data Enabler,92400 Courbevoie,France,DATA SCIENTIST,,"Posted
Offre publiée il y a plus de 30 jours","Votre bagage technique (data mining et visualisation de données techniques, l'analyse graphique, l'analyse statistique, le machine."
1147,Dassault Systèmes,Vélizy-Villacoublay (78),France,Data Scientist (H/F),,"Posted
Offre publiée il y a plus de 30 jours",Rester à la pointe de la technologie en effectuant une veille constante pour suivre les dernières avancées en data science.
1148,BRGM,Télétravail hybride à Orléans (45),France,Postdoctorat Data Sciences pour la Géochimie des Matières Premières F/H,,"Posted
Offre publiée il y a 2 jour","Votre activité portera sur le traitement statistique de données issues de différentes techniques d'analyse.
Echanger avec les ingénieurs et chercheurs en charge…"
1149,JEMS S.A,Lyon (69),France,Data Analyst Lyon H/F,,"Posted
Offre publiée il y a 8 jour","Notre métier est de créer, manager et exploiter le patrimoine data de nos clients.
Nous avons la conviction que chaque entreprise peut adopter une démarche…"
1150,Centre d'Epidémiologie et de Santé Publique des...,Marseille (13),France,Automatic classification of plasmodium parasite species and stages of development from stained thin blood smears using machine learning,,"Posted
Offre publiée il y a plus de 30 jours","Knowledge in AI and machine learning.
Both “traditional” machine learning approaches and deep learning approaches will be investigated."
1151,Capgemini,31036 Toulouse,France,Docteur - Responsable Technique R&I / Data-Centric AI & Deep Learning - H/F,,"Posted
Offre publiée il y a 20 jour",Nous recherchons un(e) responsable technique afin d’assister un de nos chef de projet R&I dans le domaine de l’intelligence artificielle.
1152,Meta,Paris (75),France,"Research Scientist Intern, AI for Photonics Inverse Design",,"Posted
Offre publiée il y a plus de 30 jours","Experience building systems based on machine learning, reinforcement learning and/or deep learning methods.
Research experience with algorithms for sequential…"
1153,Chela+,94100 Paris,France,DATA SCIENTIST H/F,,"Posted
Offre publiée il y a 7 jour","Envoyer ces dernières à des annotateurs à l’étranger avec les spécifications d’annotation.
Corriger/actualiser le code d’entraînement."
1154,AIRBUS HELICOPTERS SAS,Marseille (13),France,Data Scientist H/F,,"Posted
Offre publiée il y a 19 jour",Vous avez une formation ingénieur d'un niveau BAC +5 dans le domaine de la Data-Science ou de l'IA ou équivalent avec une expérience d'au moins 3 ans dans des…
1155,Aquila Data Enabler,92400 Courbevoie,France,DATA SCIENTIST COMPUTER VISION,,"Posted
Offre publiée il y a plus de 30 jours","Le machine learning / deep learning, etc).
À votre bagage technique (data mining et visualisation de données techniques, l'analyse graphique, l'analyse…"
1156,AXA,Suresnes (92),France,Data Analyst Junior - F/H,,"Posted
Offre publiée il y a plus de 30 jours","Diplômé(e) d’une formation Bac +5 en data sciences ou informatique, vous justifiez d’au moins 2 ans d'expérience en analytique."
1157,BPCE Solutions Informatiques,Lille (59),France,Data Ingénieur (H/F) - Lille,,"Posted
Offre publiée il y a 2 jour","Avec ses 19 implantations en régions, BPCE SI intervient au plus près des établissements bancaires.
Vous participez à la résolution des incidents et effectuez…"
1158,Capgemini Invent,Paris (75),France,Consultant Expérimenté Intelligent Industry Data & Analytics F/H,,"Posted
Offre publiée il y a 15 jour","Pour plusieurs acteurs de l’industrie, de la santé ou des produits de consommation - Définition d’une feuille de route de transformation data à 3 ans,…"
1159,Aircall,Paris (75),France,Data Analyst / Data Scientist Intern,,"Posted
Offre publiée il y a 26 jour","Development & deployment of data models using dbt/ using Python for additional analysis or integration tasks,.
Curious, problem solver, eager to learn,."
1160,SUEZ,Le Pecq (78),France,Innovation / R&D / Data Sciences_Modèle d'offre d'emploi,,"Posted
Offre publiée il y a plus de 30 jours","Les techniques de biologie moléculaire : extraction et purification d’acides nucléiques, quantification de gènes (PCR quantitative et/ou PCR digitale),…"
1161,Fretbay,Paris (75),France,Stagiaire Data Scientist,,"Posted
Offre publiée il y a plus de 30 jours","Participez à la construction de la stratégie Data (machine learning, modèles prévisionnels).
De formation supérieure en école d’ingénieur/université (niveau Bac…"
1162,Qualcomm,Bordeaux (33),France,"Machine Learning Engineer - Bordeaux, France XR Labs office",,"Posted
Offre publiée il y a plus de 30 jours","Experience using modern deep learning toolboxes (e.g. PyTorch, TensorFlow), machine learning pipelines, model evaluation and data visualization."
1163,HERMES INTERNATIONAL,75008 Paris,France,CDI - HR DATA ANALYST (H/F),,"Posted
Offre publiée il y a 1 jour","L’équipe People Analytics, à laquelle le/la HR data Analyst appartiendra, se développe en parallèle et structure la gouvernance data, la documentation data, le…"
1164,GMV,Ramonville-Saint-Agne (31),France,Internship - Space object characterization with Machine Learning,,"Posted
Offre publiée il y a plus de 30 jours","Design trade-off (reuse vs from scratch).
Applied mathematics and physics (advanced).
Parallel algorithm analysis and development (medium)."
1165,Nhood,Télétravail hybride à Villeneuve-d'Ascq (59),France,Holding - Data Ingénieur,,"Posted
Offre publiée il y a 30 jour","Développer l'industrialisation de modèles statistiques ou de machine learning demandés par le Product Owner.
Vous serez au sein du département Data Factory dans…"
1166,Integral Ad Science,Paris (75),France,Financial Analyst Intern,,"Posted
Offre publiée il y a 8 jour","Prior experience with data analytics tool like Tableau/Power BI.
Bachelor's or Master's degree in Finance, Economics, Business Administration, Mathematics or…"
1167,BLOOMAYS,Paris (75),France,Data Engineer,,"Posted
Offre publiée il y a plus de 30 jours","Contrôler la cohérence des données stockées et les transformations éventuelles en lien avec les équipes métier (directions marketing, directions numériques, DSI…"
1168,Dataiku,Paris (75),France,Director of Product Management - Data Science,,"Posted
Offre publiée il y a 21 jour","Dataiku is the platform for Everyday AI, systemizing the use of data for exceptional business results.
The role of the Director of Product Management involves a…"
1169,Le Groupe La Poste,Saint-Denis (93),France,Data Engineer,,"Posted
Offre publiée il y a plus de 30 jours","Vous possédez de solides connaissances en data architecture et traitement des données.
Vous avez une parfaite connaissance de l’environnement python et big-data…"
1170,RD2 CONSEIL,Télétravail hybride à Lyon 2e (69),France,Docteur R&D - Data Scientist - Données énergétiques (MYM) F/H,,"Posted
Offre publiée il y a 8 jour","Conseils et suggestions d économies adaptés au foyer (équipements, travaux, etc.),.
Indicateurs utiles pour mieux comprendre et maîtriser la consommation."
1171,Google,Paris (75),France,"Cloud Conversational AI Engineer, Google Cloud (English, French)",,"Posted
Offre publiée il y a plus de 30 jours","Experience coding in one or more languages such as Python, Java, or similar.
Experience building conversational applications with Dialogflow or similar products…"
1172,L'arbre vert,Cavaillon (84),France,ALTERNANCE DATA ANALYST (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Maitrise du langage de data management et des bases de données.
Actuellement étudiant en préparation d’un Master 1, Master 2 ou équivalent avec une…"
1173,Stellantis,78300 Poissy,France,Data Scientist - IA Interprétable,,"Posted
Offre publiée il y a plus de 30 jours",Stellantis recherche un stagiaire très motivé pour rejoindre notre équipe et contribuer à la recherche sur l’Explainable Machine Learning.
1174,Synopsia Ingénierie,75002 Paris,France,Ingénieur / Développeur IA NLP,,"Posted
Offre publiée il y a plus de 30 jours","Vous serez spécialisé(e) dans le développement de systèmes capables de comprendre et de générer un langage humain.
Connaissance des pratiques CI/CD."
1175,SFR,Paris (75),France,Administrateur Système Infrastructure Data-Science H/F,,"Posted
Offre publiée il y a plus de 30 jours","Lors de votre mission, vous interviendrez auprès des pôles d'expertises de Data-Science et de Gouvernance de la donnée, en interaction avec les équipes SI, pour…"
1176,Gueudet,Amiens (80),France,Data Scientist (f/h),,"Posted
Offre publiée il y a plus de 30 jours","Issu d'une formation Bac +5 type université, école d'ingénieurs ou de commerce avec une spécialisation en informatique, en statistiques, en marketing ou en big…"
1177,SOYHUCE,Télétravail hybride à Caen (14),France,Data Analyst F/H,,"Posted
Offre publiée il y a 4 jour","De formation ingénieur en data ingénierie ou data science, vous justifiez d une première expérience significative à un poste similaire d au moins 2 ans."
