,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1,scraping_date
23,MVP1 Ventures,Remote,Australie,Head of Analytics and Data Science,,"Posted
Posted 30+ days ago","Set up a data analytics, data engineering and data science practice including recruitment, setting up big data and analytics strategy across the organisation…",18-01-2024
24,NSW Government -Agency for Clinical Innovation,New South Wales,Australie,"Stream Manager, Innovation Modelling & Data Science",,"Posted
Posted 9 days ago","Relevant tertiary qualifications and extensive experience in biostatistics, machine learning, computer science or a related discipline.",18-01-2024
25,South East Water Corporation,Hybrid remote in Frankston VIC,Australie,Data Analytics Developer (2-year contract),,"Posted
Posted 30+ days ago","You have demonstrated experience in operations research, mathematics, data mining, machine learning or computer engineering and have experience with a wide…",18-01-2024
26,Microsoft,Sydney NSW 2000,Australie,Cloud Solution Architect - Data and Analytics,,"Posted
Posted 15 days ago","Bachelor’s degree in computer science, Information Technology, Engineering, Business or related field AND 4+ years’ experience in cloud/infrastructure…",18-01-2024
27,Technology Recruiting Solutions,Melbourne VIC,Australie,Advanced Analytics Manager – Data Science,,"Posted
Posted 30+ days ago","Experience in data mining, statistical methods, machine-learning.
The perfect candidate will have a degree or PHD in Mathematics, Statistics or Computer Science…",18-01-2024
28,Office of the Australian Information Commissioner,Hybrid remote in Darwin NT,Australie,"APS5/6 Data and Reporting Analyst, Business Analytics, Data and Reporting",,"Posted
Posted 30+ days ago","Other ad-hoc data requests.
As a Data and Reporting Analyst, you’ll use your experience and understanding of data analysis and business knowledge to address…",18-01-2024
29,Accenture,Melbourne VIC,Australie,Expression of Interest: Customer Data & AI Consulting Senior Manager,,"Posted
Posted 30+ days ago","Proven experience in a data science, analytics, or performance marketing role, preferably within the consulting sector.",18-01-2024
30,Jobs for Humanity,Sydney NSW,Australie,Principal Applied Scientist/Machine Learning Engineer,,"Posted
Posted 30+ days ago","Design and implement scalable data processing and machine learning pipelines.
Collaborate with product, engineering, and data teams to identify machine learning…",18-01-2024
31,Coles Group,Hawthorn East VIC 3123,Australie,Data Science Lead,,"Posted
Posted 30+ days ago",Analytics professional with a proven track record (5+ years) in advanced analytics / data science / Measurement science and/or Econometrics.,18-01-2024
32,carsales,Melbourne VIC,Australie,Marketing Data Analytics Manager,,"Posted
Posted 30+ days ago","Drive change through data and set strategic priorities for the marketing analytics team.
Writing SQL queries to extract data from multiple and various data…",18-01-2024
33,REA Group,Hybrid remote in Melbourne VIC,Australie,Senior Machine Learning Engineer,,"Posted
Posted 3 days ago","Tertiary qualifications in ML or data engineering, software development, data science OR equivalent experience.
A hybrid and flexible approach to working.",18-01-2024
