,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1,scraping_date
171,The University of Adelaide,Greater Adelaide SA,Australie,Grant-Funded Researcher (B)- CREST 2 - School of Computer Science,,"Posted
Posted 30+ days ago",Demonstrated knowledge and experience in one or more programming technologies for building and evaluating relevant prototypes and/or automation tools.,18-01-2024
172,amdocs,Melbourne VIC,Australie,Azure Data Specialist,,"Posted
Posted 30+ days ago",Bring continuous improvements/efficiencies by utilizing data engineering tools and various innovative techniques and reusing existing solutions.,18-01-2024
173,G'day Group,Hybrid remote in Greater Adelaide SA,Australie,Customer Data Analyst - Remote,,"Posted
Posted 9 days ago","A Bachelor’s degree in a quantitative discipline (Mathematics, Statistics, Physics, Finance, Economics, Computer Science) along with working knowledge of data…",18-01-2024
174,Hearing Australia,Hybrid remote in New South Wales,Australie,Data Engineer,,"Posted
Posted 8 days ago","Strong Experience implementing and delivery of data solutions using Azure data stack.
Write and deploy high volume data applications to ingest, transform, and…",18-01-2024
175,Openmesh Network,Remote,Australie,Junior Data Architect,,"Posted
Posted 30+ days ago","Xnode, enables developers to build their own decentralized data clouds with data connectivity, data APIs, and query & analytics engines in mere minutes, instead…",18-01-2024
176,Darktrace,Remote in Melbourne VIC,Australie,Analyst,,"Posted
Posted 8 days ago","Background in Science, Engineering or Computer Science.
Graduating from a Top University with a good GPA (2:1 or 2nd upper & above).",18-01-2024
177,Reserve Bank of Australia,Sydney NSW,Australie,Business Data Lead,,"Posted
Posted 6 days ago","Being part of the hard-working team of data analysts, you will work closely with and support data analysts in maturing Financial Markets Group's data assets…",18-01-2024
178,JAC Civil,Maryborough QLD,Australie,Excavator Operator,,"Posted
Posted 30+ days ago","Physically fit to participate in manual handling or labouring activities during machine down time or.
Workmanship with machines from three to thirty 30 tonne.",18-01-2024
179,Deakin University,Australia,Australie,Sessional Staff in the Department of Information Systems and Business Analytics,,"Posted
Posted 30+ days ago",Areas of expertise needed: business analytics; information systems; artificial intelligence for business; digital transformation; machine learning; data science…,18-01-2024
180,Sahmriresearch,Greater Adelaide SA,Australie,Data Analyst,,"Posted
Posted 6 days ago","Undertake analyses, interpretation and reporting of clinical and epidemiological data, as well as contribute to overall data management and analysis strategies…",18-01-2024
181,TikTok,Sydney NSW,Australie,"Data Analyst, Video Infrastructure",,"Posted
Posted 30+ days ago","Skilled in data manipulation with SQL, Python, R or other programming languages/tools.
As data analyst in this team, you will have the opportunity to tackle…",18-01-2024
182,CBOE,Sydney NSW 2000,Australie,Software Engineer - Data Pipeline Engineering,,"Posted
Posted 6 days ago","Bachelor’s degree or equivalent in Computer Science or related field preferred.
We optimize for increases in data volumes.
If it’s broken, we fix it.",18-01-2024
183,TPG Telecom,Hybrid remote in Sydney NSW,Australie,Senior Complex Data Investigator,,"Posted
Posted 7 days ago","As a Senior complex data investigator, you will use your data analytical skills to ensure that any fraud risk or vulnerability in TPG Telecom’s network, product…",18-01-2024
184,B & K Consulting,Northern Beaches NSW,Australie,Senior Business Development Manager - Property Data & Analytics,,"Posted
Posted 8 days ago","It is publicly recognised for its property data and analytic capabilities.
Your background will either be within financial services, government services, real…",18-01-2024
185,Elida,Remote in Sydney Central Business District NSW,Australie,NodeJS Developer-Health Tech,,"Posted
Posted 30+ days ago","Experience or understanding of working with scrum methodology.
This is a company that through the use of video conferencing, digital transformation, data…",18-01-2024
186,Visa,Melbourne VIC 3000,Australie,"Consulting Director, Visa Consulting & Analytics, AUNZSP – Melbourne Based",,"Posted
Posted 14 days ago","Collaborate with data science team members to leverage advanced data analytics capabilities.
Experience in payments or retail banking industry.",18-01-2024
187,The Sydney Children's Hospitals Network,Sydney Western Suburbs NSW,Australie,SCHN - Data Engineer,,"Posted
Posted 2 days ago","The role will be responsible for bringing together data from a wide range of clinical, finance and workforce source systems into a consolidate environment to…",18-01-2024
188,Xero,Hybrid remote in Sydney NSW,Australie,Data Engineer,,"Posted
Posted 13 days ago","Craft cutting-edge data pipelines and automation using Python and/or other programming or scripting languages.
Openness to learning from failure.",18-01-2024
189,Technology Recruiting Solutions,Melbourne VIC,Australie,BI/DW and Data Analytics Consultant,,"Posted
Posted 14 days ago","Degree qualified or comparable experience in Information Technology or related discipline.
Minimum 5+ years of experience in BI / Information Management…",18-01-2024
190,Amazon Web Services Australia Pty Ltd,Perth WA,Australie,Data Architect,,"Posted
Posted 30 days ago","Are you an experienced specialist in data analytics who is at the top of their field in data warehousing, data lakes or AI/ML technology?",18-01-2024
191,HiTech Personnel,Hybrid remote in Queensland,Australie,"Data Analysts & Scientists - Python, R SQL, Teradata, MSSQL, R, Python",,"Posted
Posted 30+ days ago","Develop complex data analytic solutions and respond to ad hoc requests for data and information.
Apply analytic techniques and methods.",18-01-2024
192,Western Earthmoving,Parramatta NSW,Australie,Dump Truck Operator,,"Posted
Posted 2 days ago","Opportunity to learn new skills, machines and progress your career.
Your success is our success: we invest in our people with opportunities for you to keep…",18-01-2024
193,Latitude Financial Services,Docklands VIC,Australie,Digital Analytics Lead,,"Posted
Today","Only open to Australian or New Zealand Permanent Residents or Citizens.
Bachelor’s degree in computer science, information technology, marketing, or a related…",18-01-2024
194,Accenture,Brisbane QLD,Australie,AI&ML Solution Architect,,"Posted
Posted 30+ days ago","Strong knowledge of data architecture, data modeling, and data integration concepts.
Learn how Accenture protects your personal data and know your rights in…",18-01-2024
195,Atlassian,Remote in Sydney NSW 2000,Australie,Principal Data Scientist,,"Posted
Posted 17 days ago","Customer or product analytics experience.
Are an active member of the broader analytics and data science community.",18-01-2024
196,Qantas Airways Limited,Sydney NSW,Australie,People Data and Insights Analyst,,"Posted
Posted 13 days ago","Advanced statistical and data analysis skills.
Degree in quantitative discipline or related analytical field.
This role will constantly look to deploy tools and…",18-01-2024
197,Accenture,Canberra ACT,Australie,AWS Data Engineer,,"Posted
Posted 30+ days ago","As a Cloud Data Engineer, you will design and maintain data analytic road maps and data structures that support business and technology objectives.",18-01-2024
198,Openmesh Network,Remote,Australie,Data Analyst Intern (Data Insights and Analytics),,"Posted
Posted 30+ days ago","Xnode, enables developers to build their own decentralized data clouds with data connectivity, data APIs, and query & analytics engines in mere minutes, instead…",18-01-2024
199,Immutable X,Remote in Sydney NSW,Australie,Senior Data Scientist,,"Posted
Posted 30+ days ago","Game or Product marketing expertise.
Stay up-to-date with the latest developments in data science and related technologies, ensuring that the company remains…",18-01-2024
200,University of Melbourne,Parkville VIC 3010,Australie,Data Analyst – Planning & Performance,,"Posted
Posted 2 days ago",Provide data and basic analyses to support performance framework and business planning using analytical and data visualisation tools.,18-01-2024
201,Yellow Canary,Remote,Australie,Data Engineer,,"Posted
Posted 30+ days ago","Desirable skills include working knowledge of AWS data services, data platform concepts such as big data cloud storage, data warehouse processing, scheduling…",18-01-2024
202,Linktree,Hybrid remote in Melbourne VIC,Australie,Staff Data Engineer,,"Posted
Posted 30+ days ago",Our data platform spans from the SDKs that our teams use to emit and consume data in front- and back-end applications to the integration with various third…,18-01-2024
203,Komatsu Australia,Fairfield NSW,Australie,Data Analyst,,"Posted
Posted 30+ days ago","Relevant tertiary qualification in Business Engineering or Computer Science or similar would be preferrable.
This is an excellent opportunity for an analytical…",18-01-2024
204,University of Melbourne,Hybrid remote in Parkville VIC 3010,Australie,Research Data Specialist,,"Posted
Posted 3 days ago","A PhD or equivalent experience in research software development, data management and/or analysis.
Strong technical expertise in at least one of data collection,…",18-01-2024
205,Xero,Sydney NSW,Australie,Staff ML Engineer,,"Posted
Posted 30+ days ago","Strong coding and system design skills in Python or another language used in web scale data and AI applications.
Familiarity with Tensorflow is a nice to have.",18-01-2024
206,Visa,Sydney NSW,Australie,Campaign Analyst (Fixed Term),,"Posted
Posted 3 days ago","Extensive experience in using data driven analytics to develop dashboards, insights and recommendations.
2 or more years of work experience with a Bachelor’s…",18-01-2024
207,Visy,Melbourne VIC,Australie,Sustainability Analyst,,"Posted
Posted 8 days ago","Strong analytical skills with proficiency in data analysis tools like Excel or Power BI.
Bachelor’s or Master’s degree in Science, Sustainability, Engineering,…",18-01-2024
208,Scalene Group,Melbourne City Centre VIC,Australie,Data Scientist,,"Posted
Posted 30+ days ago","3-5 years experience in a data analyst / reporting analyst or data scientist role, ideally with a Retailer/FMCG • Exceptional analytical and insight skills,…",18-01-2024
209,PCCW Global,Brisbane QLD,Australie,Data Analyst,,"Posted
Posted 8 days ago","Identify and recommend new data and analytics capabilities, tools and services that will enhance our overall data science capabilities.",18-01-2024
210,Macquarie Group Limited,Hybrid remote in Sydney NSW,Australie,Director of Product AI,,"Posted
Posted 30+ days ago",We help with accelerating the digital enterprise by supporting strategic and cross group initiatives related to data and artificial intelligence.,18-01-2024
211,CSIRO,Sydney NSW,Australie,Postdoctoral Fellowship | Science Digital | Software Engineering,,"Posted
Posted 30+ days ago",Completed their doctorate or masters degree and have less than three years relevant postdoctoral or postmasters work experience in a relevant field such as…,18-01-2024
212,Accenture,Sydney NSW,Australie,"Solution Architect (Data Security, Data Governance, Data Management)",,"Posted
Posted 6 days ago",Data Security Cloud Solution Architects are trusted advisors for customers attempting to secure their entire data estates against internal and external data…,18-01-2024
213,HAYS,Sydney NSW,Australie,Course Coordinator Master of Data Science,,"Posted
Posted 30+ days ago","This role can be offered full time or part-time and is responsible for leadership and oversight over the Data Science programs, including graduate diploma and…",18-01-2024
214,Luxury Escapes,Southbank VIC,Australie,Senior Data Analyst,,"Posted
Posted 13 days ago","Solid understanding of statistical methods, predictive modelling, and machine learning techniques relevant to retention analytics.",18-01-2024
215,Westpac,Sydney NSW,Australie,Head of Group Financial Crime Monitoring & Analytics,,"Posted
Posted 3 days ago","We can provide reasonable adjustments for individuals with disability and/or neurodiversity.
You have a clear understanding of Financial Crime data risk…",18-01-2024
216,Mutinex,Hybrid remote in Sydney NSW,Australie,Mid Data Engineer,,"Posted
Posted 9 days ago","These could involve writing simple ETL scripts, data transformations, or data quality checks.
Environment Familiarization: Get acquainted with the data…",18-01-2024
217,Bupa,Melbourne VIC 3000,Australie,Digital Data Specialist,,"Posted
Posted 8 days ago","Good understanding of tag management data layer.
Experience working directly with developers in implementing analytic solutions.",18-01-2024
218,Trellian,Remote in Melbourne VIC,Australie,Data Engineer,,"Posted
Posted 30+ days ago","Implement data governance practices for data security and compliance.
Collaborate with stakeholders to understand data requirements and design effective data…",18-01-2024
219,MACS Technologies,Wagga Wagga NSW,Australie,System Administrator,,"Posted
Posted 30+ days ago","Ability to create scripts in Python, Perl or another language.
Proven experience as a System Administrator, Network Administrator or similar role.",18-01-2024
220,ANSTO,Lucas Heights NSW,Australie,Laboratory Technician,,"Posted
Today","Conduct experimental work and ensure that the data obtained is reproducible, accurate and appropriately recorded.",18-01-2024
221,Murdoch Childrens Research Institute,Parkville VIC,Australie,Laboratory Technicians,,"Posted
Posted 30+ days ago",An Associate Diploma/Diploma/BSc in Biological Sciences or a related discipline plus an appropriate level of expertise gained from a combination of hands on…,18-01-2024
222,Credible,Urgently hiring,Australie,Business Analyst NSW,,"Employer
Active 2 days ago",Running analytics exercises of large data sets including querying databases and manipulating outputs in excel spreadsheets.,18-01-2024
223,Openmesh Network,Remote,Australie,Master's in Data Science Internship,,"Posted
Posted 30+ days ago","Basic understanding of machine learning concepts.
Xnode, enables developers to build their own decentralized data clouds with data connectivity, data APIs, and…",18-01-2024
224,World Vision Australia,Victoria,Australie,Business Intelligence Data Reporting Analyst,,"Posted
Posted 3 days ago","Tertiary qualifications in Computer Science, Information Systems or similar.
Experience leading initiatives/projects or have team leadership aspirations.",18-01-2024
225,Essential Energy,Remote in New South Wales,Australie,Senior Data Engineer,,"Posted
Posted 7 days ago","Certifications in Azure, Databricks or data engineering.
Degree in Computer Science, Information Technology or Engineering or demonstrated capability through…",18-01-2024
226,KPMG,Sydney NSW,Australie,QA Analyst | KPMG Origins,,"Posted
Posted 7 days ago","Confidence with JavaScript or TypeScript.
Experience with at least one automation framework using JavaScript or Typescript (Playwright preferred).",18-01-2024
227,Talent International,Hybrid remote in Sydney NSW,Australie,AI Engineer,,"Posted
Posted 30+ days ago","Solid understanding of machine learning, deep learning, and natural language processing (NLP).
Proven ability to design AI solutions with a focus on data…",18-01-2024
228,Satalyst,Australia,Australie,Microsoft Data Analytics / BI Technical Lead,,"Posted
Posted 30+ days ago","Experience in advanced analytics including machine learning and predictive modelling (would be a plus).
Track record of delivering data and analytics projects.",18-01-2024
229,Laneway Analytics,Melbourne VIC,Australie,Analytics Solution Engineer,,"Posted
Posted 30+ days ago","Exposure to advanced analytics applications, with the ability to program in Python and/or.
Business analysis, data profiling experience.",18-01-2024
230,Monadelphous,Perth WA,Australie,Estimating and Performance Analytics Lead,,"Posted
Posted 9 days ago","Development and management of databases, along with expertise in data analytics.
Relevant trade qualification or Engineering degree.",18-01-2024
231,Sartorius,Remote,Australie,Field Application Specialist,,"Posted
Posted 10 days ago","Academic degree in biological engineering, biotechnology or other life sciences related field.
Strong learning ability, and expert knowledge base in this area.",18-01-2024
232,Accenture,Melbourne VIC,Australie,Applied Intelligence Value Strategist (Health Industry),,"Posted
Posted 30+ days ago","Understanding of functional data & AI architecture and its ability to enable data & AI products or use cases.
Qualifications in Statistics, Business Management,…",18-01-2024
233,Accenture,Melbourne VIC,Australie,Insurance Industry Applied Intelligence Value Strategist,,"Posted
Posted 30+ days ago","Understanding of functional data & AI architecture and its ability to enable data & AI products or use cases.
Hands on data & AI delivery experience.",18-01-2024
234,Nuvento,Canberra ACT,Australie,Data Engineer,,"Posted
Posted 30+ days ago","Experience with data storage solutions, such as Hadoop HDFS or Amazon S3, and data serialization formats.
3+ years of experience in data engineering, software…",18-01-2024
235,Deloitte,Brisbane QLD 4000,Australie,Audit - 2024 Graduate Program (Brisbane),,"Posted
Posted 30+ days ago","Performing substantive audit testing using data analytics to develop and present annual audit plans and reports.
Audit - 2024 Graduate Program (Brisbane).",18-01-2024
236,Robert Walters,Hybrid remote in Sydney NSW,Australie,Junior Analytics Engineer,,"Posted
Posted 30+ days ago","Making recommendations for the collection of new data or the refinement of existing data sources and storage.
Tech stack - AWS, SQL, DBT, RedShift, Tableau.",18-01-2024
237,Atlassian,Remote in Sydney NSW 2000,Australie,Senior Data Scientist - Growth,,"Posted
Posted 16 days ago",Experience driving projects or programs which have had proven impact on business strategy and performance through your analytics skills.,18-01-2024
238,Transport and Main Roads,Remote in Brisbane QLD,Australie,Senior Data Scientist,,"Posted
Posted 6 days ago","The role will suit a driven individual who- Has experience working as a data scientist, data analyst, data engineer, transport modeller, or similar role.",18-01-2024
239,King & Wood Mallesons,Sydney NSW,Australie,Full Stack Developer - Technology,,"Posted
Posted 2 days ago","Ability to work and mentor others irrespective of their function or role.
Reporting to the Sydney based Development and Integration Manager, you will be…",18-01-2024
240,Ricardo,Hybrid remote in Melbourne VIC,Australie,Graduate or Consultant - Environmental Scientist,,"Posted
Posted 27 days ago","Relevant tertiary qualification in Environmental Science, Geology, Earth Sciences or equivalent.
Prepare reports for projects along with GIS data, analysis and…",18-01-2024
241,Vanderlande Industries,Sydney NSW 2060,Australie,Mechanical Maintenance Technician,,"Posted
Posted 30+ days ago","Using data analytics to enhance system performance.
As a Mechanical Technician, your role within the team is to undertake preventative and corrective…",18-01-2024
242,Culture Amp,Melbourne VIC,Australie,Senior Data Scientist,,"Posted
Posted 6 days ago","Develop robust data and machine learning pipelines.
Good understanding of machine learning models, and model validation.",18-01-2024
243,NextGen,Sydney NSW,Australie,BI Software Developer,,"Posted
Posted 6 days ago",Implement new or updated data points/sources of data required to generate analytics (a.k.a. “Bronze data” to be included in our data lake).,18-01-2024
244,Atlassian,Sydney NSW 2000,Australie,Senior Data Engineer,,"Posted
Posted 30+ days ago","BS in Computer Science or equivalent experience with 5+ years of data engineering experience.
We’re looking for a senior data engineer with experience using…",18-01-2024
245,Australian Secret Intelligent Service,Canberra ACT,Australie,Activate Graduate program Technologist,,"Posted
Posted 30+ days ago",You’ll work with both operational technology and enterprise teams to innovate and develop new solutions to complex problems that enable the foreign intelligence…,18-01-2024
246,Insurance Australia Group,Victoria,Australie,Experience Design & Analytics Specialist,,"Posted
Posted 2 days ago","Advanced knowledge of data analytics technologies and architectures.
Experience in building analytics tools and applications for deployment in real or near real…",18-01-2024
247,Ai Group Apprentice and Trainee Centre,Sydney NSW,Australie,Sydney Aged Care Part Qual Program,,"Posted
Posted 6 days ago","Students eligible for pre-apprenticeship or pre-traineeship training include those who:
Receive support and advice from a Group Training Organisation (GTO) and…",18-01-2024
248,Commonwealth Bank,Sydney NSW,Australie,Chapter Lead: Foundational Analytics,,"Posted
Posted 7 days ago","Strong data visualisation and modelling capability.
Strong background delivering analysis and insights using operational and strategic data.",18-01-2024
249,Systech International,Australia,Australie,Senior Data Analyst,,"Posted
Posted 28 days ago","Bachelor's Degree in data science, statistics, engineering, or a related field.
Data Analysis: Perform statistical analysis, data modelling, and data mining to…",18-01-2024
250,Commonwealth Bank,Sydney NSW,Australie,"Manager, Insights & Analytics",,"Posted
Posted 2 days ago","Work collaboratively with product stakeholders, advanced analytics and data teams.
Extensive relevant experience in using data and analytics to drive business…",18-01-2024
251,HCF,Sydney NSW,Australie,Program Director,,"Posted
Posted 7 days ago","Experience in Customer Data Platforms and analytics, data-driven loyal rewards and personalisation.
Demonstrated experience in management or degree in Computer…",18-01-2024
252,Bunnings,Hawthorn East VIC,Australie,Enterprise Data Architect,,"Posted
Posted 7 days ago","Additionally, you will also work closely with the Data and Analytics team to create a data-driven culture and improve data literacy across Bunnings.",18-01-2024
253,Foxtel,Hybrid remote in North Ryde NSW,Australie,Head of Analytics and Reporting - Hubbl,,"Posted
Today","You’re skilled in data analysis, maths and statistics and you’re comfortable with data engineering and data science concepts.",18-01-2024
254,Verint Systems Inc.,Sydney NSW,Australie,Customer Analytics Consultant,,"Posted
Posted 30+ days ago","This role will have variety and flexibility, working with multiple customers across various industry verticals on short projects time or developing a one-on-one…",18-01-2024
255,Monash University,Clayton VIC,Australie,PhD Project – Supervised and knowledge-guided machine learning approaches for quantifying and identifying microorganisms in water and wastewater treatment,,"Posted
Posted 30+ days ago",PhD Project – Supervised and knowledge-guided machine learning approaches for quantifying and identifying microorganisms in water and wastewater treatment.,18-01-2024
256,Tasmanian Government,Hobart TAS,Australie,Manager Spatial Data and Products,,"Posted
Posted 30+ days ago","A Diploma in Applied Science, or equivalent level, in a Spatial Sciences related discipline, as provided by either a university, a vocational education…",18-01-2024
257,SAS,Remote in Sydney NSW,Australie,"Technical Customer Advisory Intern (Sydney, Melbourne or Canberra)",,"Posted
Posted 30+ days ago",SAS employees performing certain job functions may require access to technology or software subject to export or import regulations.,18-01-2024
258,NSW Government -Teaching Service,Greater Sydney NSW,Australie,Teacher Science - Normanhurst Boys High School,,"Posted
Posted 2 days ago",Capacity to effectively interpret student assessment data to refine teaching and learning programs and provide explicit feedback to maximise student achievement…,18-01-2024
259,St Vincent's Hospital Network,Sydney NSW,Australie,Data Manager,,"Posted
Posted 29 days ago","Tertiary qualification and/or demonstrated extensive relevant experience in a clinical, health management or information systems area.",18-01-2024
260,DroneShield Limited,Sydney NSW,Australie,Field Service Engineer (AU),,"Posted
Posted 30+ days ago","Experience with networked devices, telecommunications, radio frequency, electronic warfare and/or machine learning/ artificial intelligence systems is highly…",18-01-2024
261,Australian Government,Brisbane Airport QLD,Australie,APS 4/5-6 (S&T Level 3-4) - Mechanical Technician,,"Posted
Just posted","Emerging digital science capabilities, including computational and data intensive science, research data and information and laboratory and experimental systems…",18-01-2024
262,Murdoch Childrens Research Institute,Parkville VIC,Australie,Clinical Research Assistant,,"Posted
Posted 7 days ago","Assists and contributes to data generation for research and publications.
Continuous maintenance of neat and orderly records and data storage.",18-01-2024
263,IGO,South Perth WA,Australie,Learning Specialist,,"Posted
Posted 1 day ago","Investigate emerging learning technologies to deliver contemporary learning experiences whilst co-designing learning options including experiences and exposure,…",18-01-2024
264,Google,Sydney NSW,Australie,"Field Solution Architect, Generative AI, Google Cloud",,"Posted
Posted 30+ days ago","Experience architecting machine learning operations systems in enterprise environments and experience building, scaling, and optimizing enterprise-grade machine…",18-01-2024
265,Kraft Heinz Company,Southbank VIC,Australie,Manager- Master Data Governance,,"Posted
Today","Experience managing BPO or offshore teams is highly preferred.
Responsible for developing and leading relevant training for data dictionary, where all existing…",18-01-2024
266,Google,Sydney NSW,Australie,"AI Sales Specialist, Google Cloud",,"Posted
Posted 9 days ago","15 years of experience in promoting IT business solutions and executing a territory sales strategy.
Experience identifying and driving use cases to solve…",18-01-2024
267,Atlassian,Remote in Sydney NSW 2000,Australie,Senior Technical Program Manager - Data Platform,,"Posted
Posted 5 days ago","BS degree in Computer Science or equivalent work experience.
5+ years of experience on software teams as Development Manager, Technical Program Manager or…",18-01-2024
268,TikTok,Sydney NSW,Australie,"Machine Learning Engineer - Trust and Safety, NLP (Australia)",,"Posted
Posted 30+ days ago","3+ years experience in one or more of the areas: machine learning, deep learning, computer vision, NLP, Audio, content understanding or participating in large…",18-01-2024
269,NSW Government -TAFE NSW,Goulburn NSW,Australie,Performance Analytics Officer,,"Posted
Posted 3 days ago","You will provide value adding business analytics on service delivery and operational performance.
General recruitment and adjustment enquiries: Liz Connolly,…",18-01-2024
270,Darktrace,Melbourne VIC,Australie,Cyber Technologist,,"Posted
Posted 13 days ago",Master's or bachelor's from a top-tier accredited university with strong academic performance in a STEM subject.,18-01-2024
271,CSIRO,Perth WA 6151,Australie,CSIRO Postdoctoral Fellowship in High Purity Materials Characterisation,,"Posted
Posted 7 days ago","A doctorate (or will shortly satisfy the requirements of a PhD) in a relevant discipline area, such as materials science, physics, geoscience or chemistry.",18-01-2024
272,Vanderlande Industries,Sydney NSW 2060,Australie,Electrical Maintenance Technician,,"Posted
Posted 30+ days ago","Using data analytics to enhance system performance.
As an Electrical Technician, your role within the team is to undertake preventative and corrective…",18-01-2024
273,AstraZeneca,Macquarie Park NSW 2113,Australie,Clinical Research Associate,,"Posted
Posted 30+ days ago","Bachelors degree in related discipline, preferably in life science, or equivalent qualification.
Good understanding of clinical study management including…",18-01-2024
274,CSR,North Ryde NSW,Australie,Sustainability Reporting & Data Analyst,,"Posted
Posted 2 days ago","Experience in developing detailed analytics and insights from complex data sets.
Competent in working with a range of data analysis tools including Microsoft…",18-01-2024
275,Asahi Beverages,Melbourne VIC,Australie,Technology Specialist,,"Posted
Posted 30+ days ago",Stay informed about the latest cybersecurity threats and compliance requirements and assist in implementing measures to safeguard the company's data and systems…,18-01-2024
276,University of Melbourne,Parkville VIC 3010,Australie,RESEARCH & PROJECTS OFFICER,,"Posted
Posted 9 days ago","Provide committee, working group or administrative support, as requested by the Chief of Staff and Director.
Demonstrated analytic, problem solving and research…",18-01-2024
277,Insightech,Hybrid remote in Sydney NSW,Australie,Digital Analytics Solutions Consultant - (B2B SaaS),,"Posted
Posted 22 days ago","Proven analytics consulting experience with enterprises is a plus.
3+ years experience in a client-facing analytics support role.",18-01-2024
278,Accenture,Brisbane QLD,Australie,AI Security Consultant,,"Posted
Posted 30+ days ago","Fundamental understanding of Generative AI technologies (including foundation models), Natural Language Processing (NLP), Deep learning (DL), , AI and Data…",18-01-2024
279,Australian Government,Canberra ACT,Australie,APS 6 - Data Engineer,,"Posted
Posted 1 day ago","We are looking for a data engineer with proven experience developing and maintaining data warehouse solutions, integrating multiple data sources from both…",18-01-2024
280,Swinburne University of Technology,Melbourne VIC,Australie,Research Fellow,,"Posted
Just posted","PhD in computer science, transport engineering or a related field focused on data analytics, simulation modelling, machine learning and/or AI.",18-01-2024
281,Rest,Hybrid remote in Sydney NSW,Australie,Senior Data Analyst - Investments - 6 month contract,,"Posted
Posted 30+ days ago","5+ years of data analysis in a data management or investment analytics function.
Familiar with Private Market and/or Responsible Investment data assets and…",18-01-2024
282,Mastercard,St Leonards NSW,Australie,"Director, F&B/Eating Places Data and Services Sales (SaaS)",,"Posted
Posted 30+ days ago","B2B Sales experience preferably in data/analytics/insights, loyalty or professional services.
Report any suspected information security violation or breach, and…",18-01-2024
283,NSW Government -Environment and Heritage Group,Sydney NSW,Australie,Scientist,,"Posted
Posted 10 days ago","The role also supports the team in other areas of project delivery including field work, data collation and data management.",18-01-2024
284,I-MED,Australia,Australie,Expression of interest - Internationally Qualified Radiologists,,"Posted
Posted 30+ days ago","To come to Australia, you will be assessed by RANZCR and usually provided with a status of partially comparable to an Australian trained radiologist, with some…",18-01-2024
285,Jobs for Humanity,Remote in Canberra ACT,Australie,Remote - Part-time | Online Data Analyst,,"Posted
Posted 30+ days ago",TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models.,18-01-2024
286,Novon,Sydney NSW,Australie,Senior Data Engineer,,"Posted
Posted 29 days ago","Experience or history working in cloud based data platforms.
10+ years’ experience working in data engineering or related field.",18-01-2024
287,Pyramid Global Technologies,Perth WA,Australie,Data Scientist,,"Posted
Posted 30+ days ago","Understanding in applying machine learning, deep learning, artificial intelligence, and/or advanced optimization algorithms.
About the job Data Scientist.",18-01-2024
288,Capgemini,Melbourne VIC,Australie,Business Analyst - All Australia Locations,,"Posted
Posted 3 days ago","Familiarity with data modeling and database design principles.
If you are living with a disability, are gender diverse or neurodivergent and we can provide…",18-01-2024
289,Talent International,Hybrid remote in Melbourne VIC,Australie,Data Engineer,,"Posted
Posted 30+ days ago","Demonstrated experience in data analytics, business intelligence or similar fields.
MS SQL, Python and/or R experience for data wrangling purposes.",18-01-2024
290,Allens,Hybrid remote in Melbourne VIC,Australie,Organisational Development Consultant,,"Posted
Posted 30+ days ago","A hunger for data and analytics with experience in taking an evidence-based approach.
In joining Allens, you will receive unparalleled learning and development…",18-01-2024
291,"Regional Development, Manufacturing and Water",Brisbane QLD,Australie,Graduate Data Engineer,,"Posted
Posted 6 days ago","To be considered for appointment you must have a degree or higher qualification, from a recognised Tertiary Institution in Environmental Planning, Environmental…",18-01-2024
292,Jetstar,Melbourne VIC,Australie,Data Scientist,,"Posted
Posted 7 days ago","Produce creative data visualizations and intuitive graphics to present complex analytics.
Experience in data visualization using PowerBI or similar tools an…",18-01-2024
293,Accenture,Brisbane QLD,Australie,Tech Sales Capture Senior Manager (Data & AI),,"Posted
Posted 30+ days ago","Learn how Accenture protects your personal data and know your rights in relation to your personal data.
If you require adjustments to the recruitment process or…",18-01-2024
294,iPSCAPE,North Sydney NSW,Australie,Backend Engineer,,"Posted
Posted 30+ days ago","Bachelor’s degree or equivalent in Computer Science or a closely related field.
Experience with WebRTC or STUN.
Azure and/or AWS experience.",18-01-2024
295,Pipe Management Australia,Ingleburn NSW 2565,Australie,Geospatial Professional,,"Posted
Posted 4 days ago","Tertiary qualifications in geospatial science, geography, GIS, or related fields; or a strong applied geospatial work experience.
All PPE and uniforms supplied.",18-01-2024
296,Microsoft,Sydney NSW 2000,Australie,Support Engineer - Intune,,"Posted
Posted 30+ days ago","Lead or participate in building communities with peer delivery roles; may be workload or specialty specific.
Experience in one or more of these areas desirable:",18-01-2024
297,McMillan Shakespeare,Hybrid remote in Melbourne VIC,Australie,Senior Data Modeller,,"Posted
Posted 30+ days ago","Experience gaining insights from sales or financial data.
Demonstrated ability in data modelling, ETL development, and data warehousing or similar skills.",18-01-2024
298,NSW Health Pathology,Sydney NSW,Australie,Medical Laboratory Scientist - Biochemistry,,"Posted
Posted 2 days ago","Bachelor Degree or higher degree in Science/Medical Laboratory Science or an equivalent qualification, with subjects relevant to pathology from a recognised…",18-01-2024
299,Avenir Consulting,Sydney NSW,Australie,Manager Traded Markets Data Analytics,,"Posted
Posted 30+ days ago","Professional qualifications such as FRM or CFA desirable.
Timetable of Change - may suit BA or Project Manager returning to BAU.",18-01-2024
